timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1771179730.771,1,13.4,283.2,4.2,0.0,0,False
1771179733.098,2,2.5,136.5,0.3,0.4,0,False
1771179733.231,3,1.1,116.1,0.2,0.8,0,False
1771179733.329,4,1.2,83.7,0.2,1.2,0,False
1771179733.424,5,1.5,81.8,0.2,1.5,0,False
1771179733.522,6,1.5,83.1,0.2,1.8,0,False
1771179733.630,7,1.5,94.2,0.2,2.1,0,False
1771179733.743,8,1.5,89.4,0.2,2.4,0,False
1771179733.848,9,1.2,78.5,0.4,2.6,0,False
1771179734.105,10,0.8,78.7,0.2,2.7,0,False
1771179734.199,11,0.8,82.7,0.2,2.9,0,False
1771179734.321,12,1.5,109.7,0.2,3.1,0,False
1771179734.431,13,1.0,96.0,0.2,3.3,0,False
1771179734.529,14,1.6,87.4,0.4,3.5,0,False
1771179734.643,15,1.2,103.2,0.2,3.6,0,False
1771179734.768,16,0.9,112.9,0.2,3.8,0,False
1771179734.878,17,0.8,99.8,0.2,3.9,0,False
1771179734.992,18,0.8,103.0,0.2,4.0,0,False
1771179735.107,19,0.8,88.6,0.2,4.2,0,False
1771179735.240,20,1.1,106.5,0.2,4.3,0,False
1771179735.354,21,1.6,97.0,0.3,4.4,0,False
1771179735.472,22,0.8,104.2,0.3,8.4,0,False
1771179735.584,23,0.8,101.6,0.3,8.5,0,False
1771179735.686,24,0.9,90.7,0.2,8.5,0,False
1771179735.784,25,1.5,87.2,0.3,8.5,0,False
1771179736.148,26,0.8,120.5,0.3,7.6,0,False
1771179736.278,27,1.7,115.9,0.2,7.6,0,False
1771179736.393,28,1.0,99.9,0.3,7.5,0,False
1771179736.526,29,0.8,118.4,0.4,7.5,0,False
1771179736.660,30,1.2,120.7,0.3,7.8,0,False
1771179736.775,31,2.2,98.9,0.2,7.8,0,False
1771179736.877,32,0.8,91.3,0.3,7.8,0,False
1771179736.987,33,1.4,97.2,0.3,7.8,0,False
1771179737.084,34,0.9,86.9,0.2,7.8,0,False
1771179737.195,35,0.8,99.7,0.2,7.8,0,False
1771179737.308,36,0.8,102.6,0.3,7.9,0,False
1771179737.419,37,0.9,98.2,0.2,7.9,0,False
1771179737.528,38,1.4,96.6,0.3,7.9,0,False
1771179737.636,39,1.5,95.7,0.2,7.9,0,False
1771179737.752,40,1.4,104.9,0.2,8.0,0,False
1771179737.848,41,1.3,84.2,0.3,8.0,0,False
1771179738.114,42,0.8,81.0,0.2,7.6,0,False
1771179738.222,43,1.0,98.6,0.3,7.6,0,False
1771179738.323,44,1.5,89.9,0.2,7.6,0,False
1771179738.423,45,1.5,88.9,0.2,7.6,0,False
1771179738.534,46,1.6,100.7,0.2,8.4,0,False
1771179738.637,47,0.8,93.9,0.2,8.5,0,False
1771179738.753,48,0.8,104.2,0.3,8.5,0,False
1771179738.864,49,0.8,100.4,0.4,8.6,0,False
1771179738.983,50,1.6,108.7,0.2,8.6,0,False
1771179739.087,51,1.3,91.7,0.2,8.7,0,False
1771179739.199,52,0.8,102.5,0.2,8.6,0,False
1771179739.305,53,0.8,95.3,0.2,8.6,0,False
1771179739.415,54,0.8,98.6,0.2,8.6,0,False
1771179739.512,55,0.8,86.6,0.2,8.6,0,False
1771179739.615,56,0.8,92.5,0.2,8.7,0,False
1771179739.720,57,1.8,91.3,0.4,8.7,0,False
1771179739.844,58,1.4,111.6,0.3,8.6,0,False
1771179740.158,59,0.8,118.3,0.2,7.9,0,False
1771179740.271,60,0.9,99.9,0.5,7.9,0,False
1771179740.409,61,1.4,122.4,0.6,7.8,0,False
1771179740.550,62,1.5,129.1,0.2,8.2,0,False
1771179740.674,63,0.8,111.6,0.3,8.2,0,False
1771179740.781,64,1.4,93.9,0.2,8.1,0,False
1771179740.892,65,1.4,97.6,0.2,8.1,0,False
1771179740.999,66,1.3,94.0,0.2,8.1,0,False
1771179741.103,67,1.4,92.1,0.2,8.1,0,False
1771179741.208,68,1.6,91.3,0.2,8.1,0,False
1771179741.307,69,1.4,87.4,0.2,8.2,0,False
1771179741.404,70,1.4,83.9,0.2,8.3,0,False
1771179741.505,71,1.4,87.6,0.2,8.3,0,False
1771179741.605,72,1.4,87.0,0.3,8.3,0,False
1771179741.708,73,1.5,85.5,0.2,8.3,0,False
