timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1771174223.877,1,0.8,100.7,0.3,0.0,0,False
1771174224.218,2,4.8,216.2,0.4,2.9,0,False
1771174224.357,3,0.8,120.3,0.3,4.2,0,False
1771174224.469,4,0.7,98.1,0.3,5.1,0,False
1771174224.573,5,1.4,90.6,0.2,5.7,0,False
1771174224.694,6,0.7,107.6,0.2,6.1,0,False
1771174224.803,7,0.7,94.5,0.3,6.5,0,False
1771174224.920,8,1.1,100.5,0.2,6.7,0,False
1771174225.038,9,1.3,101.8,0.2,6.9,0,False
1771174225.171,10,1.6,103.3,0.2,7.0,0,False
1771174225.282,11,0.9,101.5,0.2,7.1,0,False
1771174225.402,12,1.9,102.8,0.2,7.2,0,False
1771174225.500,13,0.7,89.8,0.3,7.4,0,False
1771174225.621,14,0.7,109.3,0.3,7.5,0,False
1771174225.913,15,0.7,81.8,0.2,6.9,0,False
1771174226.022,16,1.4,88.6,0.2,7.0,0,False
1771174226.145,17,1.1,98.6,0.3,7.1,0,False
1771174226.286,18,1.2,113.0,0.2,7.1,0,False
1771174226.429,19,1.3,128.5,0.5,7.1,0,False
1771174226.552,20,1.7,106.0,0.2,7.1,0,False
1771174226.666,21,1.2,101.2,0.2,7.2,0,False
1771174226.762,22,1.1,85.4,0.2,7.9,0,False
1771174226.861,23,1.1,88.4,0.2,8.0,0,False
1771174226.956,24,1.2,83.9,0.2,8.0,0,False
1771174227.058,25,1.3,92.0,0.2,8.0,0,False
1771174227.151,26,1.3,83.1,0.2,8.1,0,False
1771174227.247,27,1.7,83.6,0.2,8.2,0,False
1771174227.349,28,1.1,85.1,0.2,8.2,0,False
1771174227.459,29,1.4,95.6,0.4,8.3,0,False
1771174227.571,30,1.6,101.3,0.2,8.3,0,False
1771174227.690,31,2.5,106.9,0.2,8.3,0,False
