timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1770756039.454,1,0.8,89.9,0.3,0.0,0,False
1770756039.834,2,1.7,202.8,0.4,2.6,0,False
1770756039.935,3,1.1,96.0,0.3,4.2,0,False
1770756040.024,4,1.5,82.8,0.2,5.3,0,False
1770756040.127,5,1.4,97.1,0.2,5.9,0,False
1770756040.215,6,1.4,82.7,0.2,6.6,0,False
1770756040.311,7,1.7,90.2,0.3,7.0,0,False
1770756040.402,8,1.4,84.5,0.2,7.4,0,False
1770756040.494,9,0.9,87.3,0.2,7.7,0,False
1770756040.602,10,1.3,102.7,0.2,7.8,0,False
1770756040.694,11,0.7,86.7,0.3,8.1,0,False
1770756040.827,12,0.8,118.3,0.3,10.1,0,False
1770756040.945,13,1.4,109.1,0.3,9.9,0,False
1770756041.036,14,1.4,84.8,0.3,9.9,0,False
1770756041.135,15,2.0,92.0,0.3,9.9,0,False
1770756041.233,16,1.4,90.9,0.3,9.8,0,False
1770756041.332,17,1.2,91.8,0.3,9.8,0,False
1770756041.425,18,1.4,86.0,0.3,9.8,0,False
1770756041.716,19,0.7,81.0,0.3,8.2,0,False
1770756041.812,20,0.6,90.4,0.2,8.3,0,False
1770756041.926,21,2.0,99.2,0.3,8.1,0,False
1770756042.026,22,1.2,91.2,0.3,8.3,0,False
1770756042.128,23,1.3,95.6,0.3,8.5,0,False
1770756042.222,24,1.3,86.2,0.3,8.4,0,False
1770756042.324,25,0.9,96.3,0.3,8.4,0,False
1770756042.420,26,0.7,90.0,0.3,8.4,0,False
1770756042.521,27,0.7,94.5,0.2,8.4,0,False
1770756042.615,28,0.7,88.1,0.3,8.4,0,False
1770756042.725,29,2.2,95.8,0.2,9.9,0,False
1770756042.826,30,1.2,92.9,0.2,9.9,0,False
1770756042.939,31,0.7,100.0,0.3,9.9,0,False
1770756043.042,32,1.1,97.1,0.3,9.8,0,False
1770756043.138,33,1.2,87.9,0.3,9.9,0,False
1770756043.234,34,1.0,89.1,0.3,9.9,0,False
1770756043.328,35,1.4,87.0,0.3,10.0,0,False
1770756043.417,36,1.3,83.1,0.3,10.0,0,False
1770756043.730,37,0.8,89.8,0.3,8.3,0,False
1770756043.852,38,1.6,114.6,0.3,8.1,0,False
1770756043.958,39,1.3,91.6,0.3,8.1,0,False
1770756044.055,40,0.7,91.4,0.3,8.1,0,False
1770756044.154,41,1.2,91.0,0.3,8.2,0,False
1770756044.261,42,1.3,97.0,0.2,8.2,0,False
1770756044.358,43,1.0,90.4,0.3,8.2,0,False
1770756044.453,44,1.1,89.0,0.3,8.2,0,False
1770756044.550,45,1.3,90.7,0.3,8.2,0,False
1770756044.655,46,1.1,98.2,0.3,8.1,0,False
1770756044.756,47,1.0,94.2,0.3,9.8,0,False
1770756044.852,48,1.3,89.7,0.3,10.0,0,False
1770756044.946,49,1.2,87.2,0.3,10.1,0,False
1770756045.227,50,1.3,273.7,0.2,8.5,0,False
1770756045.330,51,4.0,87.3,0.3,8.5,0,False
1770756045.434,52,1.2,91.2,0.3,8.5,0,False
1770756045.535,53,1.1,87.6,0.3,8.5,0,False
1770756045.769,54,0.7,86.1,0.3,7.6,0,False
1770756046.067,55,0.7,292.1,0.3,6.6,0,False
1770756046.158,56,1.8,85.6,0.3,6.7,0,False
1770756046.259,57,1.9,93.4,0.2,6.7,0,False
1770756046.356,58,1.1,90.0,0.2,6.7,0,False
1770756046.450,59,1.0,88.4,0.2,6.6,0,False
1770756046.543,60,1.0,86.6,0.2,7.6,0,False
1770756046.637,61,0.7,87.3,0.2,7.7,0,False
1770756046.736,62,1.0,92.3,0.2,7.7,0,False
1770756046.834,63,0.7,92.7,0.2,7.7,0,False
1770756046.929,64,0.7,89.1,0.2,8.6,0,False
1770756047.027,65,0.7,91.9,0.2,10.4,0,False
1770756047.122,66,1.2,86.9,0.2,10.4,0,False
1770756047.215,67,1.7,85.4,0.2,10.5,0,False
1770756047.305,68,1.1,84.5,0.2,10.5,0,False
