timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1771176489.540,1,1.0,101.4,0.3,0.0,0,False
1771176489.829,2,0.9,179.2,0.4,3.5,0,False
1771176489.983,3,2.0,143.1,0.3,4.5,0,False
1771176490.079,4,1.4,85.2,0.2,5.6,0,False
1771176490.173,5,1.5,84.3,0.2,6.3,0,False
1771176490.276,6,1.4,92.9,0.2,6.8,0,False
1771176490.373,7,1.5,85.2,0.3,7.2,0,False
1771176490.465,8,1.4,81.1,0.3,7.6,0,False
1771176490.783,9,0.8,90.9,0.2,6.4,0,False
1771176490.890,10,1.5,94.6,0.3,6.7,0,False
1771176490.992,11,1.5,91.6,0.2,6.9,0,False
1771176491.084,12,1.5,82.0,0.3,7.1,0,False
1771176491.186,13,1.4,91.4,0.2,7.3,0,False
1771176491.301,14,1.5,103.7,0.3,7.4,0,False
1771176491.400,15,1.4,84.6,0.2,7.5,0,False
1771176491.511,16,1.4,89.9,0.2,7.6,0,False
1771176491.603,17,1.5,82.9,0.2,7.8,0,False
1771176491.709,18,1.5,98.5,0.2,7.8,0,False
1771176491.812,19,0.9,95.9,0.2,7.9,0,False
1771176491.919,20,0.8,99.6,0.2,8.0,0,False
1771176492.015,21,1.1,87.9,0.3,8.1,0,False
1771176492.126,22,1.7,102.0,0.3,8.7,0,False
1771176492.225,23,0.9,90.4,0.2,8.9,0,False
1771176492.337,24,1.4,100.4,0.3,8.9,0,False
1771176492.448,25,0.8,100.5,0.3,8.8,0,False
1771176492.558,26,1.3,91.1,0.2,8.8,0,False
1771176492.794,27,0.8,95.8,0.3,8.3,0,False
1771176492.895,28,0.8,90.2,0.2,8.2,0,False
1771176492.993,29,1.5,88.9,0.3,9.1,0,False
1771176493.088,30,1.4,84.5,0.2,9.1,0,False
1771176493.198,31,1.6,96.2,0.2,9.1,0,False
1771176493.301,32,1.3,92.0,0.2,9.0,0,False
1771176493.407,33,1.1,94.7,0.3,9.0,0,False
1771176493.510,34,1.3,90.8,0.2,9.1,0,False
1771176493.618,35,1.2,96.6,0.4,9.0,0,False
1771176493.741,36,0.8,112.1,0.2,9.0,0,False
1771176493.849,37,1.2,97.2,0.2,8.9,0,False
1771176493.962,38,1.3,102.5,0.2,8.9,0,False
1771176494.069,39,1.3,94.6,0.4,8.9,0,False
1771176494.175,40,1.4,93.8,0.3,8.9,0,False
1771176494.279,41,1.4,93.8,0.2,8.8,0,False
1771176494.391,42,1.3,104.6,0.3,8.8,0,False
1771176494.490,43,1.4,87.7,0.2,8.8,0,False
1771176494.787,44,0.8,78.5,0.2,8.2,0,False
1771176494.896,45,0.8,95.6,0.2,8.2,0,False
1771176494.996,46,1.3,88.8,0.3,8.2,0,False
1771176495.142,47,1.5,130.5,0.4,8.5,0,False
1771176495.246,48,1.3,87.8,0.2,8.5,0,False
1771176495.354,49,1.6,96.6,0.3,8.5,0,False
1771176495.469,50,1.4,104.4,0.3,8.4,0,False
1771176495.573,51,1.1,93.6,0.2,8.4,0,False
1771176495.684,52,1.4,101.4,0.3,8.4,0,False
1771176495.829,53,1.4,134.9,0.3,8.3,0,False
1771176495.983,54,1.5,142.4,0.3,8.1,0,False
1771176496.093,55,1.4,102.1,0.2,8.1,0,False
1771176496.197,56,0.8,95.4,0.2,8.1,0,False
1771176496.299,57,0.8,94.0,0.3,8.2,0,False
1771176496.390,58,0.9,81.6,0.2,8.2,0,False
1771176496.477,59,0.8,77.3,0.2,8.3,0,False
1771176496.790,60,0.8,80.9,0.2,7.6,0,False
1771176496.914,61,0.8,112.5,0.3,7.6,0,False
1771176497.009,62,0.8,81.0,0.2,7.6,0,False
1771176497.098,63,0.8,78.5,0.2,7.7,0,False
1771176497.188,64,0.8,79.5,0.3,8.3,0,False
1771176497.278,65,0.8,78.9,0.3,8.4,0,False
1771176497.371,66,0.8,80.0,0.3,8.4,0,False
1771176497.494,67,0.8,109.5,0.2,8.5,0,False
1771176497.596,68,0.9,91.4,0.3,8.5,0,False
