timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1773061242.498,1,12.2,301.2,4.1,0.0,0,False
1773061244.553,2,1.8,120.3,0.3,0.5,0,False
1773061244.703,3,1.1,95.7,0.3,0.9,0,False
1773061244.855,4,1.3,94.1,0.2,1.3,0,False
1773061244.982,5,1.1,83.1,0.2,1.6,0,False
1773061245.113,6,0.8,93.2,0.2,1.9,0,False
1773061245.242,7,1.9,96.9,0.2,2.2,0,False
1773061245.356,8,0.7,89.2,0.2,2.4,0,False
1773061245.487,9,1.2,86.8,0.2,2.7,0,False
1773061245.594,10,0.7,81.1,0.2,2.9,0,False
1773061245.820,11,0.8,78.8,0.2,3.0,0,False
1773061245.970,12,1.2,91.9,0.2,3.2,0,False
1773061246.119,13,1.1,91.6,0.2,3.3,0,False
1773061246.272,14,1.4,92.3,0.2,3.4,0,False
1773061246.469,15,0.8,140.0,0.4,3.5,0,False
1773061246.623,16,0.8,99.3,0.2,3.6,0,False
1773061246.767,17,0.8,89.3,0.4,3.7,0,False
1773061246.945,18,1.2,133.1,0.2,3.8,0,False
1773061247.061,19,0.8,86.1,0.2,3.9,0,False
1773061247.178,20,1.3,85.0,0.2,4.1,0,False
1773061247.287,21,1.3,81.9,0.2,4.2,0,False
1773061247.406,22,1.3,92.1,0.2,7.0,0,False
1773061247.517,23,0.8,87.3,0.3,7.1,0,False
1773061247.849,24,0.8,98.7,0.3,6.7,0,False
1773061248.009,25,1.2,98.8,0.2,6.6,0,False
1773061248.164,26,0.8,98.6,0.2,6.6,0,False
1773061248.306,27,1.3,85.8,0.2,6.5,0,False
1773061248.445,28,1.3,87.7,0.3,6.5,0,False
1773061248.589,29,0.8,96.6,0.2,6.4,0,False
1773061248.737,30,0.7,96.8,0.2,6.4,0,False
1773061248.857,31,0.8,92.1,0.4,6.6,0,False
1773061248.992,32,0.7,94.8,0.3,6.6,0,False
1773061249.195,33,0.7,159.0,0.2,6.5,0,False
1773061249.325,34,0.8,94.6,0.2,6.6,0,False
1773061249.442,35,1.3,90.8,0.3,6.7,0,False
1773061249.564,36,1.6,83.0,0.2,6.8,0,False
1773061249.922,37,0.8,92.0,0.3,6.3,0,False
1773061250.066,38,0.9,87.4,0.3,6.4,0,False
1773061250.213,39,1.5,89.1,0.3,6.3,0,False
1773061250.357,40,0.9,90.1,0.3,6.3,0,False
1773061250.500,41,0.8,93.5,0.2,6.2,0,False
1773061250.632,42,1.0,98.2,0.3,6.2,0,False
1773061250.764,43,0.7,85.7,0.2,6.2,0,False
1773061250.893,44,0.8,83.6,0.2,6.6,0,False
1773061251.021,45,0.7,102.0,0.3,6.6,0,False
1773061251.149,46,0.8,92.7,0.3,6.7,0,False
1773061251.263,47,1.4,83.9,0.3,6.8,0,False
1773061251.375,48,1.6,83.7,0.3,6.8,0,False
1773061251.490,49,1.6,88.2,0.2,6.9,0,False
1773061251.601,50,1.3,85.6,0.2,7.0,0,False
1773061251.853,51,0.8,85.7,0.2,6.7,0,False
1773061251.995,52,0.8,88.8,0.2,6.7,0,False
1773061252.137,53,0.8,87.2,0.2,6.8,0,False
1773061252.302,54,1.3,114.6,0.2,6.7,0,False
1773061252.443,55,0.8,92.0,0.3,6.7,0,False
1773061252.568,56,0.8,88.3,0.2,6.7,0,False
1773061252.702,57,0.8,93.2,0.2,7.2,0,False
1773061252.843,58,0.8,101.7,0.2,7.2,0,False
1773061252.989,59,0.8,89.5,0.2,7.2,0,False
1773061253.126,60,1.1,95.3,0.2,7.2,0,False
1773061253.251,61,1.3,92.9,0.2,7.3,0,False
1773061253.366,62,0.8,88.0,0.2,7.3,0,False
1773061253.490,63,0.8,94.3,0.3,7.3,0,False
1773061253.606,64,1.5,88.4,0.3,7.4,0,False
1773061253.847,65,0.9,84.9,0.3,7.1,0,False
1773061254.014,66,1.6,115.8,0.3,7.0,0,False
1773061254.186,67,1.2,137.9,0.3,6.8,0,False
1773061254.333,68,0.8,89.0,0.2,6.8,0,False
1773061254.466,69,1.2,91.0,0.2,6.7,0,False
1773061254.601,70,1.5,95.2,0.2,6.7,0,False
1773061254.721,71,1.2,84.0,0.2,7.0,0,False
1773061254.835,72,1.2,86.1,0.3,7.0,0,False
1773061254.951,73,1.2,86.5,0.2,7.1,0,False
1773061255.071,74,1.1,89.9,0.3,7.2,0,False
1773061255.200,75,1.3,83.0,0.3,7.3,0,False
1773061255.338,76,0.8,95.8,0.3,7.2,0,False
1773061255.486,77,1.2,104.4,0.2,7.2,0,False
1773061255.616,78,1.1,86.9,0.3,7.2,0,False
1773061255.524,79,0.8,81.4,0.3,7.9,0,False
1773061255.670,80,1.2,89.3,0.3,7.9,0,False
1773061255.797,81,1.2,85.6,0.2,7.9,0,False
1773061255.924,82,1.1,84.3,0.2,7.8,0,False
1773061256.052,83,1.8,86.1,0.2,7.8,0,False
1773061256.199,84,1.1,111.6,0.2,7.7,0,False
1773061256.306,85,1.2,87.2,0.2,8.1,0,False
1773061256.454,86,0.8,98.3,0.2,8.2,0,False
1773061256.619,87,0.8,111.6,0.3,8.2,0,False
1773061256.778,88,0.8,106.0,0.3,8.2,0,False
1773061256.952,89,2.0,124.6,0.2,8.0,0,False
1773061257.098,90,0.7,97.7,0.3,8.0,0,False
1773061257.233,91,1.3,95.9,0.3,8.0,0,False
1773061257.479,92,0.9,86.3,0.2,7.6,0,False
1773061257.620,93,1.1,88.6,0.2,7.5,0,False
1773061257.776,94,1.1,99.2,0.2,7.4,0,False
1773061257.930,95,1.2,91.8,0.2,7.3,0,False
1773061258.110,96,1.1,120.7,0.2,7.2,0,False
1773061258.237,97,1.2,91.1,0.2,7.3,0,False
1773061258.373,98,1.3,89.4,0.2,7.3,0,False
1773061258.500,99,1.6,84.1,0.2,6.7,0,False
1773061258.633,100,0.7,88.2,0.3,6.8,0,False
1773061258.779,101,1.6,104.1,0.3,6.7,0,False
1773061258.918,102,1.2,94.7,0.2,6.7,0,False
1773061259.107,103,1.2,131.2,0.5,6.5,0,False
1773061259.273,104,0.8,108.4,0.3,6.5,0,False
1773061259.412,105,0.8,92.1,0.2,6.4,0,False
1773061259.532,106,0.9,84.1,0.2,6.5,0,False
1773061259.658,107,0.7,81.8,0.2,6.6,0,False
1773061259.768,108,0.7,84.5,0.2,6.7,0,False
1773061259.879,109,0.8,84.2,0.2,6.8,0,False
1773061260.007,110,0.7,84.9,0.2,6.9,0,False
1773061260.121,111,0.7,87.4,0.3,6.9,0,False
1773061260.251,112,1.2,87.2,0.3,7.2,0,False
1773061260.361,113,0.7,82.6,0.3,7.3,0,False
1773061260.469,114,0.8,81.1,0.3,7.4,0,False
1773061260.585,115,0.8,89.0,0.3,7.5,0,False
1773061260.708,116,0.7,93.9,0.2,7.7,0,False
1773061260.828,117,0.7,88.5,0.3,7.7,0,False
1773061260.939,118,0.9,81.8,0.2,7.8,0,False
1773061261.061,119,1.1,96.0,0.2,7.8,0,False
1773061261.175,120,0.7,80.0,0.2,7.9,0,False
1773061261.486,121,1.3,91.4,0.2,7.4,0,False
1773061261.656,122,0.7,116.5,0.2,7.3,0,False
1773061261.813,123,0.8,100.3,0.3,7.4,0,False
1773061261.979,124,1.1,116.5,0.4,7.4,0,False
1773061262.116,125,1.0,93.4,0.3,7.4,0,False
1773061262.248,126,1.3,92.4,0.3,7.4,0,False
1773061262.394,127,1.3,102.0,0.2,7.3,0,False
1773061262.520,128,1.1,85.2,0.2,7.3,0,False
1773061262.660,129,1.2,98.6,0.3,7.2,0,False
1773061262.772,130,0.9,83.0,0.2,7.2,0,False
1773061262.884,131,1.2,83.2,0.2,7.2,0,False
1773061262.994,132,0.9,83.0,0.2,7.3,0,False
1773061263.107,133,1.2,83.5,0.2,7.3,0,False
1773061263.225,134,1.2,82.5,0.2,7.3,0,False
1773061263.342,135,1.2,84.3,0.2,7.3,0,False
1773061263.453,136,1.2,84.8,0.3,7.3,0,False
1773061263.563,137,1.3,80.7,0.2,7.3,0,False
1773061263.686,138,1.2,90.6,0.2,7.3,0,False
1773061263.798,139,1.1,85.3,0.3,7.3,0,False
1773061263.909,140,1.9,83.4,0.3,7.3,0,False
1773061264.022,141,2.0,84.1,0.3,7.9,0,False
1773061264.136,142,1.2,84.8,0.2,8.1,0,False
1773061264.253,143,1.3,84.6,0.2,8.2,0,False
1773061264.373,144,1.2,84.3,0.2,8.4,0,False
1773061264.487,145,1.2,84.7,0.2,8.4,0,False
1773061264.598,146,1.2,83.9,0.2,8.5,0,False
1773061264.710,147,1.3,85.1,0.2,8.6,0,False
1773061264.821,148,1.3,80.5,0.2,8.7,0,False
1773061264.944,149,1.1,84.1,0.2,8.8,0,False
1773061265.055,150,1.2,83.6,0.2,8.8,0,False
1773061265.168,151,1.3,82.7,0.3,8.8,0,False
1773061265.486,152,0.9,81.2,0.3,8.0,0,False
1773061265.625,153,0.8,88.7,0.3,7.9,0,False
1773061265.774,154,1.0,89.2,0.2,7.8,0,False
1773061265.913,155,1.3,86.1,0.3,7.8,0,False
1773061266.044,156,1.1,86.6,0.3,7.7,0,False
1773061266.174,157,1.0,86.0,0.3,7.7,0,False
1773061266.288,158,1.6,85.3,0.3,7.7,0,False
1773061266.416,159,1.4,87.4,0.3,7.6,0,False
1773061266.530,160,1.4,86.7,0.3,7.6,0,False
1773061266.640,161,1.5,83.4,0.3,7.6,0,False
1773061266.762,162,0.9,87.0,0.3,7.6,0,False
1773061266.879,163,1.3,88.6,0.3,7.6,0,False
1773061267.002,164,1.8,88.0,0.3,7.6,0,False
1773061267.116,165,1.3,84.2,0.3,7.6,0,False
1773061267.231,166,1.3,86.9,0.3,7.6,0,False
1773061267.351,167,1.4,86.7,0.3,7.6,0,False
1773061267.468,168,1.3,88.9,0.3,7.6,0,False
1773061267.620,169,1.9,122.1,0.2,7.5,0,False
1773061267.752,170,0.7,104.0,0.4,7.4,0,False
1773061267.878,171,1.1,94.0,0.4,7.4,0,False
1773061267.999,172,1.1,93.2,0.3,8.0,0,False
1773061268.113,173,1.2,85.1,0.2,8.0,0,False
1773061268.239,174,1.1,84.6,0.2,8.1,0,False
1773061268.350,175,1.1,84.6,0.2,8.2,0,False
1773061268.471,176,1.3,94.3,0.3,8.2,0,False
1773061268.586,177,1.1,88.1,0.3,8.3,0,False
1773061268.707,178,1.8,91.7,0.3,8.3,0,False
1773061268.826,179,1.3,87.8,0.3,8.3,0,False
1773061268.941,180,1.3,86.7,0.2,8.3,0,False
1773061269.056,181,1.3,87.8,0.3,8.3,0,False
1773061269.170,182,1.3,84.1,0.3,8.3,0,False
1773061269.505,183,0.9,82.5,0.3,7.6,0,False
1773061269.672,184,1.0,86.9,0.3,7.5,0,False
1773061269.817,185,1.4,87.4,0.3,7.4,0,False
1773061269.976,186,1.4,112.4,0.3,7.3,0,False
1773061270.108,187,1.7,86.6,0.3,7.3,0,False
1773061270.236,188,1.1,94.8,0.2,7.2,0,False
1773061270.355,189,1.1,84.1,0.2,7.3,0,False
1773061270.469,190,1.2,85.0,0.3,7.4,0,False
1773061270.584,191,1.2,85.8,0.3,7.4,0,False
1773061270.705,192,1.4,87.6,0.3,7.4,0,False
1773061270.820,193,1.5,84.6,0.2,7.4,0,False
1773061270.931,194,1.2,84.1,0.2,7.4,0,False
1773061271.050,195,1.2,90.3,0.3,7.4,0,False
1773061271.162,196,1.1,84.7,0.2,7.4,0,False
