timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1770756768.396,1,1.9,129.2,0.3,0.0,0,False
1770756768.863,2,3.8,292.5,0.3,2.1,0,False
1770756769.145,3,3.6,234.8,0.3,2.7,0,False
1770756769.503,4,0.7,314.1,0.5,2.7,0,False
1770756769.779,5,3.3,229.3,0.5,2.9,0,False
1770756770.064,6,4.9,217.9,0.3,3.0,0,False
1770756770.420,7,0.7,319.2,0.3,3.0,0,False
1770756770.563,8,0.9,101.2,0.3,3.2,0,False
1770756770.751,9,5.1,143.1,0.3,3.4,0,False
1770756771.015,10,7.1,222.5,0.3,3.4,0,False
1770756771.230,11,0.8,183.2,0.3,3.5,0,False
1770756771.377,12,0.6,115.8,0.2,4.0,0,False
1770756771.497,13,0.6,96.0,0.3,4.3,0,False
1770756771.730,14,0.7,81.8,0.2,4.5,0,False
1770756771.876,15,0.6,118.5,0.2,4.8,0,False
1770756771.992,16,1.2,91.4,0.3,5.2,0,False
1770756772.107,17,1.1,87.0,0.2,5.9,0,False
1770756772.233,18,1.2,94.2,0.2,6.0,0,False
1770756772.348,19,0.6,90.8,0.3,6.3,0,False
1770756772.466,20,2.5,91.1,0.2,6.9,0,False
1770756772.580,21,1.2,88.5,0.2,7.4,0,False
1770756772.715,22,1.2,109.0,0.2,7.5,0,False
1770756772.841,23,1.2,98.3,0.2,7.4,0,False
1770756772.973,24,1.2,93.7,0.2,8.0,0,False
1770756773.107,25,0.6,97.9,0.3,8.1,0,False
1770756773.220,26,0.6,87.7,0.2,8.1,0,False
1770756773.343,27,1.2,95.6,0.3,8.1,0,False
1770756773.456,28,1.1,89.6,0.2,8.2,0,False
