timestamp,frame_number,preprocess_ms,inference_ms,postprocess_ms,fps,objects_detected,alert_active
1771174911.335,1,0.8,124.5,0.3,0.0,0,False
1771174911.620,2,3.9,176.1,0.3,3.5,0,False
1771174911.754,3,2.2,119.8,0.5,4.8,0,False
1771174911.862,4,0.7,97.7,0.2,5.7,0,False
1771174911.957,5,1.5,83.7,0.3,6.4,0,False
1771174912.063,6,1.9,93.6,0.2,6.9,0,False
1771174912.172,7,1.3,96.6,0.2,7.2,0,False
1771174912.276,8,1.2,92.5,0.2,7.4,0,False
1771174912.377,9,1.3,88.4,0.6,7.7,0,False
1771174912.474,10,1.3,85.9,0.2,7.9,0,False
1771174912.570,11,2.0,83.8,0.3,8.1,0,False
1771174912.674,12,1.4,90.8,0.4,8.2,0,False
1771174912.775,13,1.4,90.4,0.2,8.3,0,False
1771174912.872,14,1.4,84.2,0.2,8.5,0,False
1771174912.968,15,1.4,84.7,0.2,8.6,0,False
1771174913.064,16,1.4,83.8,0.2,8.7,0,False
1771174913.350,17,0.7,80.7,0.2,7.9,0,False
1771174913.448,18,0.7,86.5,0.2,8.0,0,False
1771174913.554,19,0.7,96.9,0.2,8.1,0,False
1771174913.658,20,1.0,94.3,0.3,8.2,0,False
1771174913.759,21,0.7,91.5,0.2,8.3,0,False
1771174913.860,22,1.5,91.2,0.3,8.9,0,False
1771174913.998,23,0.7,129.1,0.2,8.9,0,False
1771174914.129,24,1.0,122.1,0.3,8.8,0,False
1771174914.247,25,0.7,109.6,0.3,8.7,0,False
1771174914.336,26,0.7,80.4,0.3,8.8,0,False
1771174914.429,27,0.7,81.9,0.2,8.9,0,False
1771174914.518,28,0.7,79.7,0.2,8.9,0,False
1771174914.607,29,1.0,80.5,0.2,9.0,0,False
1771174914.723,30,0.6,104.2,0.3,8.9,1,True
1771174914.828,31,0.8,89.4,0.2,8.9,0,True
